scientificname
?Agastoschizomus n.sp.
Abacion tesselatum
Abacion wilhelminae
Abagrotis barnesi
Abagrotis crumbi benjamini
Abagrotis nefascia
Abagrotis nefascia benjamini
Abagrotis orbis
Ablautus schlingeri
Abra aequalis
Abronia umbellata ssp. breviflora
Abudefduf saxatilis
Abudefduf taurus
Abutilon eremitopetalum
Abutilon menziesii
Abutilon sandwicense
Acabaria bicolor
Acacia koa
Acacia koaia
Acaena exigua
Acalypha deamii
Acalypha gracilens
Acalypta lillianis
Acalypta susanae
Acanthametropus pecatonica
Acantharchus pomotis
Acanthemblemaria aspera
Acanthemblemaria chaplini
Acanthochiton viridis
Acanthocybium solandri
Acanthocyclops Villosipes
Acanthocyclops columbiensis
Acanthohaustorius intermedius
Acanthohaustorius millsi
Acanthostracion quadricornis
Acanthuridae
Acanthurus bahianus
Acanthurus chirurgus
Acanthurus coeruleus
Acari
Acartia tonsa
Acaulon muticum var. muticum
Acaulon muticum var. rufescens
Accipiter cooperii
Accipiter gentilis
Accipiter gentilis apache
Accipiter gentilis atricapillus
Accipiter gentilis laingi
Accipiter striatus
Accipiter striatus venator
Acella haldemani
Acentrella feropagus
Acer glabrum
Acer spicatum
Acetes americanus
Acetropis americana
Achalarus lyciades
Achatinella spp.
Achelia sawayai
Achyranthes mutica
Achyranthes splendens var. rotundata
Acilius mediatus
Acipenser brevirostrum
Acipenser fulvescens
Acipenser medirostris
Acipenser oxyrinchus
Acipenser oxyrinchus desotoi
Acipenser oxyrinchus oxyrinchus
Acipenser transmontanus
Aconitum uncinatum
Acontia delecta
Acontia lactipennis
Acorus americanus
Acris crepitans
Acris crepitans blanchardi
Acris crepitans crepitans
Acris gryllus
Acrocephalus familiaris kingi
Acrocephalus luscinia
Acrochaetium dotyi
Acrolepiopsis leucoscia
Acrolophitus nevadensis
Acrolophitus pulchellus
Acroloxus coloradensis
Acromycter alcocki
Acroneuria arida
Acroneuria flinti
Acroneuria kosztarabi
Acroneuria ozarkensis
Acroneuria petersi
Acronicta albarufa
Acronicta connecta
Acronicta exilis
Acronicta falcula
Acronicta increta
Acronicta lanceolaria
Acronicta lithospila
Acronicta rubricoma
Acronicta tritona
Acropora cervicornis
Acropora cytherea
Acropora gemmifera
Acropora humilis
Acropora nasuta
Acropora palmata
Acropora paniculata
Acropora valida
Actaea pachypoda
Acteocina canaliculata
Acteocina candei
Actinemys marmorata
Actinemys marmorata marmorata
Actinemys marmorata pallida
Actinocidaris thomasi
Actinonaias ligamentina
Actinonaias pectorosa
Actinopyga mauritiana
Actitis hypoleucos
Actitis macularius
Acupalpus alternans
Acupalpus rectangulus
Acyrtops beryllinus
Adella oplerella
Adelocosa anops
Adenophorus periens
Adetus sp. EGR 1
Adhemarius blanchardorum
Adiantum aleuticum
Adiantum viridimontanum
Adinia xenica
Adocia tubifera
Adopaeoides prittwitzi
Adoxomyia albopilosa
Adrityla cucullata
Aechmophorus clarkii
Aechmophorus occidentalis
Aegathoa oculata
Aegialia concinna
Aegolius acadicus
Aegolius funereus
Aeoloplides rotundipennis
Aerodramus vanikorensis bartschi
Aeronautes saxatalis
Aeropedellus clavatus
Aesculus glabra
Aesculus glabra var. arguta
Aeshna canadensis
Aeshna clepsydra
Aeshna constricta
Aeshna interrupta
Aeshna interrupta interrupta
Aeshna juncea
Aeshna multicolor
Aeshna sitchensis
Aeshna subarctica
Aeshna tuberculifera
Aeshna verticalis
Aethia cristatella
Aethia pusilla
Aethia pygmaea
Aethra edentata
Aetobatus narinari
Aeverrillia armata
Aeverrillia setigera
Aflexia rubranura
Agabetes acuductus
Agabus aeruginosus
Agabus bicolor
Agabus canadensis
Agabus confinis
Agabus discolor
Agabus disintegratus
Agabus immaturus
Agabus inscriptus
Agabus leptapsis
Agabus rumppi
Agalinis auriculata
Agalinis heterophylla
Agalinis purpurea
Agalinis viridis
Agallissus lepturoides
Agapema galbina
Agapema homogena
Agapetus artesus
Agapetus hessi
Agapetus medicus
Agapetus montanus
Agapetus tomus
Agaricia agaricites
Agaricia fragilis
Agaricia lamarcki
Agarodes distinctus
Agarodes libalis
Agarodes stannardi
Agarodes ziczac
Agastache foeniculum
Agastache nepetoides
Agastache scrophulariifolia
Agathymus mariae
Agathymus neumoegeni carlsbadensis
Agathymus neumoegeni chisosensis
Agathymus neumoegeni mcalpinei
Agathymus neumoegeni neumoegeni
Agathymus polingi
Agathymus remingtoni valverdiensis
Agave eggersiana
Agave missionum
Agelaius phoeniceus
Agelaius tricolor
Agelaius xanthomus
Agelenopsis emertoni
Agkistrodon contortrix
Agkistrodon contortrix mokasen
Agkistrodon contortrix pictigaster
Agkistrodon piscivorus
Agkistrodon piscivorus leucostoma
Agkistsrodon contortrix
Aglaodiaptomus leptopus
Aglaodiaptomus stagnalis
Aglaophamus verrilli
Agnorisma bollii
Agonopterix hyperella
Agonopterix lythrella
Agonostomus monticola
Agonum belleri
Agonum crenistriatum
Agonum darlingtoni
Agonum decorum
Agonum moerens
Agonum mutatum
Agonum picicornoides
Agonum punctiforme
Agonum superioris
Agosia chrysogaster
Agra oblongopunctata oblongopunctata (Chevrola
Agrilus dollii (Schaeffer)
Agrilus subtropicus (Schaeffer)
Agrimonia gryposepala
Agrius cingulatus
Agrostis borealis
Agrostis exarata var. minor
Agrotis obliqua
Agrotis stigmosa
Aimophila aestivalis
Aimophila botterii
Aimophila cassinii
Aimophila quinquestriata
Aimophila ruficeps
Aimophila ruficeps canescens
Aiptasia eruptaurantia
Aiptasia pallida
Aix sponsa
Alaskaperla ovibovis
Alasmidonta arcula
Alasmidonta atropurpurea
Alasmidonta heterodon
Alasmidonta marginata
Alasmidonta raveneliana
Alasmidonta robusta
Alasmidonta triangulata
Alasmidonta undulata
Alasmidonta varicosa
Alasmidonta viridis
Alasmidonta wrightiana
Alauda arvensis
Albula vulpes
Albunea catherinae
Alca torda
Alces alces
Alcyonidium hauffi
Aldisa pikokai
Alectis ciliaris
Alectryon macrococcus var. auwahiensis
Alectryon macrococcus var. macrococcus
Aleochara speculicollis
Alexicles aspersa
Algamorda newcombiana
Aligena elevata
Alle alle
Alligator mississippiensis
Allium burdickii
Allium canadense
Allium canadense var. fraseri
Allium cernuum
Allium schoenoprasum var. sibiricum
Allium speculae
Allium tricoccum
Allocapnia brooksi
Allocapnia cunninghami
Allocapnia frisoni
Allocapnia frumi
Allocapnia fumosa
Allocapnia illinoensis
Allocapnia jeanae
Allocapnia malverna
Allocapnia oribata
Allocapnia ozarkana
Allocapnia perplexa
Allocapnia pygmaea
Allocapnia simmonsi
Allocapnia stannardi
Allocapnia warreni
Allocrangonyx hubrichti
Allocrangonyx pellucidus
Allogona lombardii
Allogona profunda
Allogona ptychophora solida
Allomyia scotti
Allopentarthrum sp. TAC 1
Allopentarthrum sp. TAC 2
Alloperla aracoma
Alloperla banksi
Alloperla biserrata
Alloperla caddo
Alloperla hamata
Alloperla idei
Alloperla leonarda
Alloperla nanina
Alloperla neglecta
Alloperla voinae
Alloperla vostoki
Allopodops mississippiensis
Alloweckellia gurnee
Alnus maritime
Alobates morio
Aloconota diversiseta
Alopecurus aequalis
Alopias superciliosus
Alopias vulpinus
Alosa aestivalis
Alosa alabamae
Alosa chrysochloris
Alosa mediocris
Alosa pseudoharengus
Alosa sapidissima
Alpheus armillatus
Alpheus heterochaelis
Alpheus normanni
Alphitonia ponderosa
Alsidium cymatophilum
Alsophis portoricensis
Aluterus heudelotii
Aluterus schoepfii
Aluterus scriptus
Alyxia oliviformis
Amakusanthura magnifica
Amara chalcea
Amara erratica
Amara laevipennis
Amaranthus brownii
Amaranthus tuberculatus
Amathia convoluta
Amathia distans
Amathia vidovici
Amaurobius borealis
Amazilia violiceps
Amazilia yucatanensis
Amazona viridigenalis
Amazona vittata vittata
Ambesa laetella
Amblema elliottii
Amblema neislerii
Amblema plicata
Ambloplites cavifrons
Ambloplites rupestris
Amblycheila cylindriformis
Amblycheila picolominii
Amblycirrhitus pinos
Amblyderus werneri
Amblyopsis rosae
Amblyopsis spelaea
Amblyraja radiata
Amblyscirtes aesculapius
Amblyscirtes alternata
Amblyscirtes belli
Amblyscirtes carolina
Amblyscirtes cassus
Amblyscirtes celia
Amblyscirtes exoteria
Amblyscirtes hegon
Amblyscirtes linda
Amblyscirtes nereus
Amblyscirtes reversa
Amblyscirtes texanae
Amblyscirtes vialis
Amblytropidia mysteca
Ambrysus funebris
Ambystoma annulatum
Ambystoma barbouri
Ambystoma californiense
Ambystoma cingulatum
Ambystoma gracile
Ambystoma jeffersonianum
Ambystoma laterale
Ambystoma laterale x jeffersonianum
Ambystoma mabeei
Ambystoma macrodactylum
Ambystoma macrodactylum croceum
Ambystoma maculatum
Ambystoma opacum
Ambystoma platineum
Ambystoma talpoideum
Ambystoma texanum
Ambystoma tigrinum
Ambystoma tigrinum nebulosum
Ambystoma tigrinum stebbinsi
Ambystoma tigrinum tigrinum
Ameiurus brunneus
Ameiurus catus
Ameiurus melas
Ameiurus natalis
Ameiurus nebulosus
Ameiurus platycephalus
Ameiurus serracanthus
Ameiva exsul
Ameiva polops
Ameiva wetmorei
Ameletus browni
Ameletus cryptostimulus
Ameletus lineatus
Ameletus sparsatus
Ameletus suffusus
Ameletus tarteri
Ameletus tertius
Ameletus tolae
Amergoniscus nicholasi
Amergoniscus paynei
Americamysis almyra
Americamysis bahia
Americamysis bigelowi
Americhelidium americanum
Americorchestia longicornis
Americorchestia megalophthalma
Americorophium aquafuscum
Amerigoniscus henroti
Amerigoniscus malheurensis
Ameroculodes edwardsi
Ametropus albrighti
Ametropus ammophilus
Amia calva
Ammannia auriculata
Ammobaenetes arenicolus
Ammocrypta beani
Ammocrypta clara
Ammocrypta meridiana
Ammocrypta pellucida
Ammocrypta vivax
Ammodramus bairdii
Ammodramus caudacutus
Ammodramus henslowii
Ammodramus leconteii
Ammodramus maritimus
Ammodramus maritimus fisheri
Ammodramus maritimus junicolus
Ammodramus maritimus macgillivraii
Ammodramus maritimus mirabilis
Ammodramus maritimus peninsulae
Ammodramus nelsoni
Ammodramus savannarum
Ammodramus savannarum ammolegus
Ammodramus savannarum floridanus
Ammodramus savannarum perpallidus
Ammodytes americanus
Ammodytes hexapterus
Ammodytoides pylei
Ammolabrus dicrus
Ammonitella yatesi
Ammopelmatus kelsoensis
Ammopelmatus muwu
Ammophila champlainensis
Ammospermophilus interpres
Ammospermophilus leucurus tersus
Ammospermophilus nelsoni
Amnicola cora
Amnicola decisus
Amnicola granum
Amnicola limosus
Amnicola sp.
Amnicola stygius
Amorpha georgiana var. georgiana
Amorpha herbacea var. floridana
Amorpha juglandis
Amorpha nana
Amorpha nitens
Amorpha schwerinii
Ampelisca abdita
Ampelisca vadorum
Ampelisca verrilli
Amphiagrion saucium
Amphianthus pusillus
Amphidium lapponicum
Amphidium mougeotii
Amphinema dinema
Amphinemura linda
Amphinemura mockfordi
Amphinome rostrata
Amphiodia atra
Amphioplus abditus
Amphipholis gracillima
Amphipholis squamata
Amphipoea erepta ryensis
Amphiporeia virginiana
Amphiporus cruentatus
Amphiporus ochraceus
Amphisbaenia fenestrata
Amphiscirpus nevadensis
Amphispiza belli
Amphispiza belli belli
Amphispiza belli clementeae
Amphispiza bilineata
Amphitrite ornata
Amphiuma pholeter
Amphiuma tridactylum
Ampithoe valida
Amplicephalus kansiensis
Amsinckia carinata
Amsonia ciliata var. filifolia
Amsonia ludoviciana
Anabolia apora
Anacamptodes pergracilis
Anacamptodon splachnoides
Anacropora sp.
Anadara brasiliana
Anadara ovalis
Anadara transversa
Anaea troglodyta floridalis
Anaedus brunneus
Anagallis minima
Anahita punctulata
Anampses chrysocephalus
Anaphalis margaritacea
Anarchopterus criniger
Anarta luteola
Anas acuta
Anas americana
Anas bahamensis
Anas clypeata
Anas crecca
Anas cyanoptera
Anas discors
Anas fulvigula
Anas fulvigula fulvigula
Anas laysanensis
Anas platyrhynchos
Anas rubripes
Anas strepera
Anas superciliosa
Anas wyvilliana
Anastrophyllum helleranum
Anastrophyllum michauxii
Anastrophyllum minutum
Anastrophyllum saxicola
Anatrytone logan
Anax longipes
Anaxyrus cognatus
Anaxyrus fowleri
Anchastus augusti (Candeze)
Anchoa hepsetus
Anchoa lyolepis
Anchoa mitchilli
Anchomenus picticornis
Ancinus depressus
Ancistrosyllis commensalis
Ancistrosyllis jonesi
Anconia hebardi
Ancotrema voyanum
Ancula evelinae
Ancylis semiovana
Ancylopsetta quadrocellata
Andranthobius sp. TAC 1
Andreaea rothii
Andrena beameri
Andrena blennospermatis
Andrena flaminea
Andrena macswaini
Andrena micheneri
Andrena mimbresensis
Andrena neffi
Andrena scotoptera
Andrena subapasta
Andrena vogleri
Aneflomorpha delongi
Aneides aeneus
Aneides ferreus
Aneides hardii
Anemone berlandieri
Anemone cylindrica
Anemone multifida
Anemone quinquefolia
Anemonella thalictroides
Anepeorus rusticus
Aneura maxima
Anguilla marmorata
Anguilla rostrata
Anguinella palmata
Anguispira alabama
Anguispira alternata
Anguispira cumberlandiana
Anguispira fergusoni
Anguispira jessica
Anguispira knoxensis
Anguispira kochi
