"ProvidedName","PreferredName"
"Amphibian","Amphibians"
"Arthropod","Other Invertebrates"
"Bird","Birds"
"Bivalves","Mollusks"
"Bryophytes","Plants"
"Cnidarians","Other Invertebrates"
"Flatworm","Other Invertebrates"
"Freshwater Mussel","Mollusks"
"Gastropods","Mollusks"
"Insect","Insects"
"Invertebrate","Other Invertebrates"
"Invertebrates","Other Invertebrates"
"Mammal","Mammals"
"Mite","Arachnids"
"Mussel","Mollusks"
"Myriapods","Other Invertebrates"
"Plant","Plants"
"Poriferans","Other Invertebrates"
"Reptile","Reptiles"
"Snail","Mollusks"
"Spider","Arachnids"
"Vascular Plants","Plants"
"Worms","Other Invertebrates"
"Fishes","Fish"
"Echinoderms","Other Invertebrates"
"Cephalopods","Other Invertebrates"
